Time,IST Cap (pF),New IST Cap (pF),New IST Heated Cap (pF),E+E Cap (pF),E+E Humidity,Vaisala Cap(pF)
12:39:59,192.02170765191815,170.276713550839,210.60967008364534,238.7874680606485,67.9,
12:40:00,191.80599714353838,170.31571185832638,210.6867230807647,238.2898590961149,65.76,
12:40:01,192.00374956957222,170.27830145556302,210.58399514443445,238.00749204075032,64.34,
12:40:02,194.9154601333513,171.75725305759647,211.24239423777817,241.15511904211385,64.77,
12:40:03,196.12458140719804,172.96658499171758,211.46988852665962,243.58761981835684,68.51,
12:40:04,194.7661911289528,172.74163158664274,211.11397497481926,243.21438696084724,73.36,
12:40:05,193.1946222978479,171.73394790097217,210.8933773358174,241.63996010027307,74.47,
12:40:06,192.84991529364677,171.1504746695542,210.82009986490706,240.71182376080876,72.92,
12:40:07,192.4937447819983,170.9973204942142,210.80648914727044,240.09069687196157,71.26,
12:40:08,192.72221574593289,170.86196287100262,210.74977581313098,239.4780328224357,69.38,
12:40:09,191.89364768131043,170.58245897795786,210.68818006636693,238.15304855120397,68.2,
12:40:10,191.57700536168815,171.71893788855806,211.68552205418052,237.59953790082398,66.56,
12:40:11,194.11867305503165,173.52005882153816,211.90829486553108,239.34066831734788,68.65,
12:40:12,196.505360347538,174.35021854113074,212.14177289597023,243.86419255442803,72.8,
12:40:13,197.0855317121525,174.66374315900566,211.97777824807565,246.336121382927,77.46,
12:40:14,197.49815810486137,174.82838487809323,212.2745693250477,247.5706450092935,81.49,
12:40:15,197.76532033661385,174.7732215944406,211.65280392180622,249.76596302299149,84.82,
12:40:16,197.21609776771672,174.21414768465027,211.35243570011838,248.8936488358619,87.4,
12:40:17,195.62296946467126,173.61839962243312,211.50984283746558,247.7358995257048,89.4,
12:40:18,193.94946946900887,173.16237308797864,211.34902000057207,246.37302691035967,90.47,
12:40:19,193.48006296137848,172.4733670271485,211.20734145839543,245.5429125595252,87.72,
12:40:20,193.35054159625722,172.27594498993213,211.25409669083618,245.07558788603671,83.3,
12:40:21,193.00792978313643,172.116544368435,211.00704024261697,244.67145700419823,79.28,
12:40:22,193.62918204596224,171.81296158934802,210.92543304088775,244.59173491870197,75.09,
12:40:23,197.19885737580222,173.43061517109314,211.740705235547,247.13663516653543,73.14,
12:40:24,197.87012689642938,174.25406818012885,211.74848545103245,248.53945601699758,75.87,
12:40:25,198.1412335817907,174.6310113085084,211.78514141698292,249.1769988213771,79.6,
12:40:26,198.43762227347148,174.833634641564,212.2667109839215,249.80245071951734,83.13,
12:40:27,198.50542737006054,174.88559435043925,212.15301035256235,249.6091319374412,86.06,
12:40:28,198.40788247605366,174.88559435043925,212.07220887168234,248.78306145170475,88.39,
12:40:29,198.8297464939942,175.08339980632013,212.6584395219087,250.13666590244134,90.25,
12:40:30,199.02825119059173,175.29506711084366,213.16523220225312,250.93508505035769,91.71,
12:40:31,199.09270096446483,175.35088329162062,211.99537501941774,251.07534983881743,92.86,
12:40:32,198.98687711061535,175.05338208182172,212.1245994690333,250.4549336060032,93.71,
12:40:33,198.89588171630203,174.30982642986692,211.83693602480164,249.6730244904798,94.33,
12:40:34,198.7782862831794,173.19038546366295,211.76806021662992,248.99819486135567,94.81,
12:40:35,198.51320031123961,172.2668242634229,211.79737850432477,248.39726935739753,95.17,
12:40:36,197.95497867960637,172.15101097567361,211.88189230082537,247.85087058172485,95.08,
12:40:37,197.49361816278267,172.43402089276546,211.91417365920088,247.4509852225629,92.87,
12:40:38,198.33050157059526,174.47188173344983,213.21362794856762,249.3141039582015,90.67,
12:40:39,198.82191043189246,175.39776145140752,213.95088940891588,250.63537226855857,91.17,
12:40:40,198.74201795076954,175.5409095576897,213.08335783844316,250.82080033367077,92.18,
12:40:41,198.18238849171237,175.54009698038212,213.10608226145192,250.11492939177893,93.09,
12:40:42,197.80631399641027,175.47366940750425,212.90894549092812,249.47929269090025,93.85,
12:40:43,197.40135463061924,175.24664586896446,212.76613935084907,248.91004997201347,94.48,
12:40:44,196.82110471427885,174.73352606385586,212.51942772925395,248.33896210204222,94.97,
12:40:45,196.38493944523273,174.13949338285354,212.27113124710993,247.94390949190165,95.32,
12:40:46,195.84815607565363,173.53566865558122,212.3961836451485,247.6981301687705,95.55,
12:40:47,195.25865946653155,173.09121458902652,212.30983900445392,247.35704973367564,95.19,
12:40:48,195.24388468094804,172.77787306610284,212.37902846900855,247.2549555904184,92.64,
12:40:49,194.54424643247134,172.33909176901187,212.03547835486626,246.92791463523417,87.71,
12:40:50,194.6842870435494,172.2259694268712,211.97385726049833,246.84197527606295,81.84,
12:40:51,194.76800413260767,171.99887645279918,211.90584544036795,246.83938855024954,76.63,
12:40:52,196.61862374041462,173.27319560786637,212.24760721211004,247.81710192425973,72.62,
12:40:53,197.48859355502955,173.98351324809158,212.38586079726537,248.44981319983688,74.02,
12:40:54,198.07959165819523,174.66333991113925,212.43694166660063,248.92327183982363,75.35,
12:40:55,198.23445962441988,173.8160600377291,211.93470236557272,249.26353561539509,75.47,
12:40:56,198.30491017046455,174.29809524397996,212.50466819716365,249.31810507724708,73.51,
12:40:57,198.1951495604545,174.3659770983703,211.82518510931686,249.12478614617072,75.63,
12:40:58,198.23308556927242,174.6310113085084,212.4020827532734,249.40934422027428,78.77,
12:40:59,198.0987631107355,174.84013292802803,212.43202451586575,249.19249090589852,82.27,
12:41:00,198.17826799317842,174.77971651297992,212.41481583265806,249.10087122721308,85.14,
12:41:01,197.48586095412162,173.61680109791854,212.14030080623021,248.17831938081198,86.72,
12:41:02,196.29882380501928,172.90590935825247,212.02425023512245,247.14348395416468,85.44,
12:41:03,195.43174892136489,172.61737929236114,212.03846940182632,246.7051809697439,82.11,
12:41:04,194.8655551390455,172.07771459171283,212.01885713224968,246.41669790375914,77.75,
12:41:05,194.53347370783467,172.15140555451964,212.07564211792342,246.22220256800847,73.18,
12:41:06,194.39045368609177,172.03810957075487,211.58054769843872,246.19637314270267,69.75,
12:41:07,194.19979064631318,172.16252606166802,211.65084792103855,246.191035977228,67.72,
12:41:08,193.70421297544453,172.354973724889,211.87797397336192,245.97040109672727,66.54,
12:41:09,194.39583399769234,172.3776146967813,211.91858291499688,245.9376285149867,66.12,
12:41:10,194.13198866321085,172.27278497118522,211.8467292013311,245.92207148875326,65.37,
12:41:11,193.62473206584886,172.1914444236105,211.71624194329624,245.8337796497743,64.08,
12:41:12,193.92201944267512,171.89167192308787,211.5898343147604,246.0496949528221,62.81,
12:41:13,193.9332132028113,172.01474723001652,211.68405471088735,246.13920701839123,61.89,
12:41:14,194.02301278364823,172.18315566190228,211.56007042623474,246.1898704124556,61.29,
12:41:15,194.44779778042403,171.68299333578514,211.43477911004888,246.25447972380198,60.82,
12:41:16,193.53610673349075,171.90036915414154,211.433802617056,246.16637684549542,60.49,
12:41:17,193.91185583336627,171.92449579300995,211.5674008503053,246.26834980471233,60.93,
12:41:18,194.15497204850647,171.73316161338337,211.63862353053574,246.35853390072302,61.25,
12:41:19,194.35981169044365,171.8896677165096,211.32418547519305,246.40478089721097,61.02,
12:41:20,193.97375044283928,171.30262408928044,211.41866784067,246.43002877565965,60.9,
12:41:21,193.85136244223767,171.2295129721468,211.6093381992741,246.1032123927014,60.45,
12:41:22,193.83096141860563,171.23812441014746,211.55278924882882,245.9605380046129,60.03,
12:41:23,193.3271032509934,170.97967301294142,211.43575560980665,245.7419258120157,59.66,
12:41:24,193.12777222521228,170.77814594287156,211.5152165302567,245.50924791417376,58.86,
12:41:25,192.4704196478052,170.91336847374413,211.49865644301323,245.05956426993518,58.04,
12:41:26,192.3414869891829,171.20272203274567,211.29447761948168,244.86472593907786,57.42,
12:41:27,192.186913351407,171.05855748574945,211.31784337085216,243.4998579517586,57.46,
12:41:28,192.1336538407638,170.4363207602725,211.23220414365548,242.21148909098915,57.93,
12:41:29,193.91365692106604,172.54652043576144,212.22752402237919,243.79774071939048,57.68,
12:41:30,196.54460631982704,174.38700402229804,212.8074969233118,247.31454914869195,62.96,
12:41:31,197.45452824617803,175.02609325378103,213.11734701856716,249.50939585412772,75.82,
12:41:32,198.0695421471959,175.27184894294828,213.2121446880754,250.73231647165534,75.82,
12:41:33,198.51320031123961,175.40635720491494,213.22742301249386,251.32155509575753,84.64,
12:41:34,198.3689645148722,175.2576254872761,212.0100815228834,251.26689586654322,87.6,
12:41:35,198.07503165313503,175.1688601481076,212.0046889605966,251.00005578539,87.6,
12:41:36,197.5690984990102,175.030211913253,212.01297398197465,250.40848567884905,91.57,
12:41:37,197.02165876663838,174.64233629404526,211.85990209475582,249.8166843425158,92.87,
12:41:38,196.6750731492312,174.22587039624145,211.76659201505836,249.3209809410547,93.87,
12:41:39,196.28711889935545,173.8555161295193,211.7626768855137,248.86883194815312,94.64,
12:41:40,195.88324326838352,173.51486811085195,211.64693600084644,248.54318959439644,95.22,
12:41:41,195.01844163924252,173.2415780820679,211.5137509573678,248.1189719732493,95.67,
12:41:42,195.09211783684444,172.79183178188478,211.503492373636,247.98427776612425,96.03,
12:41:43,194.99841827400212,172.40105100377582,211.46451656114976,247.86803637984787,96.29,
12:41:45,194.93637840255417,172.43481199863845,211.3738589039868,247.73385604439014,96.49,
12:41:46,194.83298680662628,172.84526564615697,211.2667266790957,247.66321667723835,96.66,
12:41:47,194.83929250409167,173.07042158426702,211.31833121489606,247.63895491058798,96.76,
12:41:48,194.68381251292746,172.5994444205291,211.29057557521566,247.5192456014841,96.84,
12:41:49,194.27377741821337,172.4666045759982,211.2789188617717,247.29947889798748,96.77,
12:41:50,193.99284380963863,172.4237010558097,211.1981287545267,247.03948709357496,96.29,
12:41:51,193.4924152937093,172.49243352541893,211.13487472096435,246.75922021332477,95.35,
12:41:52,192.8269931501527,172.49919749577873,211.11397497481926,246.41215213948004,94.57,
12:41:53,192.98293584745062,172.01829427285705,211.05562801125637,246.2451518328651,91.99,
12:41:54,193.22234455852498,171.49762592633027,210.92056827537084,246.2612918737494,87.89,
12:41:55,192.91130211932037,171.3203572064441,211.0337663073958,245.99276372016297,83.42,
12:41:56,192.71703222638772,171.38807460996978,210.94776447394347,245.78659179998132,79.7,
12:41:57,192.6005431993311,171.3707228758993,210.9409527677261,245.48163707632926,75.92,
12:41:58,192.613702906042,171.556348423062,211.0308451788629,245.12744693611046,73.19,
12:41:59,192.8182761534811,171.55513513812903,211.05027182309115,245.18005406564515,70.97,
12:42:00,191.93485616705223,171.24129158999133,210.795358504433,244.30889042932975,69.67,
12:42:01,191.78520109245912,171.29557433776904,211.1738081629558,242.3935193202432,69.69,
12:42:02,191.37175509643646,171.31839859439046,211.55181193819357,240.64345480977468,69.89,
12:42:03,191.27190023815717,171.30109304564544,212.0286629268943,239.8117290893392,69.76,
12:42:04,190.9321564668672,170.95414758781095,212.06583306413106,239.63371814223893,68.56,
12:42:05,190.8484715267498,170.3036050675537,211.92299230840808,239.39195292309358,66.12,
12:42:06,190.94095537780495,170.69439067464344,212.1544825745962,239.34619591120486,65.08,
12:42:07,190.72488774136957,171.61274468733768,212.76416789641547,236.0436341373581,66.27,
12:42:08,190.6288407025207,171.632097153726,213.0828638696156,235.46136119231673,67.29,
12:42:09,190.37087274807314,170.82557789614685,212.67764804443294,235.0717233677335,66.1,
12:42:10,190.53349270085715,170.5152184280526,212.4497270575356,235.04499598505978,64.77,
12:42:11,190.40958879112955,170.34303629926677,212.14766140816022,235.00906142289574,63.17,
12:42:12,190.40345518244317,170.44102056537744,212.0311144818479,234.9987632271161,62.1,
12:42:13,190.51795633740196,172.26287456725387,213.06656386187294,235.08042362771178,65.75,
12:42:14,194.98717540369387,174.2028643228512,213.83677660651415,240.1788090953261,71.78,
12:42:15,197.79814075182912,174.86326536215327,213.79814699418128,245.6369169458053,77.41,
12:42:16,198.2248858597647,175.12450276543433,213.9087012472604,249.57149692507625,82.08,
12:42:17,198.07684678191535,175.00785522347297,213.0755039375477,250.41018476553762,85.73,
12:42:18,197.26646849381405,173.99477530474496,212.7287849490371,250.38671372822165,88.53,
12:42:19,195.71490198814504,172.83967214940503,212.42219072654666,249.71181046242043,90.66,
12:42:20,196.13902003819072,173.1787671031176,212.60442334812456,249.16856623745957,92.03,
12:42:21,198.36026833764967,174.62529425853134,213.63222830508266,250.70432420451942,93.22,
12:42:22,197.83366491454666,174.56008112496292,212.34177596134344,250.66297483891393,94.2,
12:42:23,196.29838703600393,172.94978764694517,212.27358700854228,249.96523805023887,94.7,
12:42:24,194.7163434469253,171.98107370298283,212.00321829749862,249.17874785534553,91.6,
12:42:25,194.17353357374964,171.93043874177957,212.02768231681793,248.60617527816444,86.28,
12:42:26,194.0252446231334,171.879396707938,211.92931267896108,247.90293120580918,80.71,
12:42:27,193.63307590440465,172.11414177556827,211.8677378557491,247.387572899676,77.38,
12:42:28,193.73902535253757,171.658917513339,211.6293825942805,247.09388295572148,74.48,
12:42:29,194.15544464691354,172.0325552088348,211.7177096212739,246.99454080584812,73.71,
12:42:30,194.27515351684409,172.09513796304094,211.66498063636425,246.97943815440678,73.38,
12:42:31,193.84643332843768,171.95299611053179,211.5878791868313,246.89975608196897,73.28,
12:42:32,193.5302917548683,172.07456002551487,211.56984440966053,246.5844877082543,72.79,
12:42:33,193.38440450953374,172.08445418285345,211.51472800426794,246.22784754418143,71.84,
12:42:34,192.89279364954766,172.09277167091577,211.4333143730963,245.8078277110263,71.3,
12:42:35,193.36557170325244,172.5401855903963,211.30472099997874,245.79118146117364,71.08,
12:42:36,193.59957544817655,172.17917296331993,211.3699546605842,245.86751106998645,69.97,
12:42:37,192.9880875221189,171.63448966012032,211.24483216864223,245.57389503831968,68.3,
12:42:38,192.41059946238826,171.26172023165327,211.12707958096468,245.21102886949734,66.71,
12:42:39,192.47016521517347,171.44164288627096,211.18935531123552,244.92991001448982,65.51,
12:42:40,191.13737118042593,171.21531619316013,210.86132893776153,244.15486793051306,64.5,
12:42:41,191.91623470550996,171.15559520526492,210.9589558504639,243.77005543410422,63.23,
12:42:42,191.84873879458232,170.9381039322916,211.03425316804802,243.31899129401074,61.79,
12:42:43,191.08148513378498,170.76719473472198,210.82933645974578,242.84705959647513,60.49,
12:42:44,191.0823660299287,170.5566333375441,210.74005860154324,243.09811194358974,59.97,
12:42:45,190.95612445227033,169.98966823321166,210.86132893776153,242.1862881757042,58.95,
12:42:46,190.54731832103116,170.20344709096264,210.85554252470254,242.15091775427194,58.71,
12:42:47,190.24904437174382,170.34579028981366,210.76138876245852,242.0498764622808,59.22,
12:42:48,190.95084440358775,170.07375065032733,210.58496575617096,242.1296154530154,60.14,
12:42:49,190.8471735452332,170.16406431495892,210.7390869173479,242.01632966891776,59.28,
12:42:50,190.32011755569857,170.30949946623477,210.729856252662,241.54597508075622,59.48,
12:42:51,190.89943823463483,170.62311971218043,210.69449384529113,241.28625125511982,59.96,
12:42:52,190.5830379904198,170.59264933736438,210.76624802190258,241.28339424193243,58.95,
12:42:53,190.45274105371232,170.74288610865517,210.66006291296958,241.02415312467585,59.43,
12:42:54,190.57977893758377,170.70650374094643,210.61500950759168,240.82757775977302,59.9,
12:42:55,190.07871431286497,170.47696460020518,210.5573544723404,240.44065414455775,59.32,
12:42:56,190.3601528283528,169.7674392010388,210.61792200623654,240.01036850978377,58.67,
12:42:57,190.37896542732597,169.81473182188822,210.72067477210297,239.45761185927168,58.39,
12:42:58,190.33804845981183,170.02430770456465,210.6867230807647,238.98489463626163,58.37,
12:42:59,190.4297024308491,170.173018552914,210.63874813187982,235.86824819017235,58.67,
12:43:00,190.41722492221612,170.24594787086738,210.62515497250646,235.64933359115045,59.23,
12:43:01,190.3614875549958,170.1687528632211,210.62758222588872,235.4274536706198,59.71,
12:43:02,190.30373175937356,170.15666173852836,210.62903859805783,235.20445483249625,60.18,
12:43:03,190.07958828386336,170.02899047788048,210.64748728636278,234.8546595328856,60.1,
12:43:04,189.82597371453713,169.92903944666955,210.65375068163297,234.4177849187942,59.41,
12:43:05,189.55181077783448,169.8427442718412,210.64651624234074,234.03505470260706,58.89,
12:43:06,189.66467334246934,169.81357210825882,210.63243685852788,233.7330293266145,58.52,
12:43:07,189.65534032322984,169.76157292070766,210.63049498533192,233.3961928874097,58.08,
12:43:08,189.56743635638676,169.73249190165757,210.61646574936245,233.09427262967014,57.95,
12:43:09,189.66774301934655,169.68246054018346,210.6062723741233,232.95016650639667,57.91,
12:43:10,189.6522709474435,169.75813057441772,210.5830245394085,232.82199000734212,57.94,
12:43:11,189.66919491950446,169.8858836402931,210.5544432299246,232.6608895463596,58.35,
12:43:12,189.73558530322492,169.96327330569702,210.56555479636305,232.55632303299765,58.83,
12:43:13,189.67180838180104,169.77400839079692,210.55783968527987,232.42740220172925,58.7,
12:43:14,189.70769709699871,169.84580251220217,210.59462370852455,232.35561334305814,57.8,
12:43:15,189.7793805343629,169.89481592963304,210.54090674579723,232.30342415234742,57.46,
12:43:16,189.64700340861577,169.80935506793256,210.53067034333995,232.24023578723356,57.22,
12:43:17,189.44753777101067,169.9445190472611,210.52586773882857,232.0447626065823,57.12,
12:43:18,189.3936329335798,169.90962257494462,210.5384324758393,231.8495361124502,56.97,
12:43:19,189.33135224072305,169.73365078479893,210.54716538803262,231.65058040575687,56.34,
12:43:20,189.32833209798045,169.53509324442544,210.5002081218524,231.4747536526453,56.26,
12:43:21,189.43076767160207,169.45995763535598,210.49390307394728,231.37545698948668,56.01,
12:43:22,189.4612039430532,169.48164510942726,210.5292635027773,231.29644552753854,55.73,
