,Air.Temp.,Air.Temp1,Air.Temp2
09/06/2020 15:25:00,39.87628,40.13237,39.48283
09/06/2020 15:26:00,40.07825,40.08441,39.47975
09/06/2020 15:27:00,40.15587,40.11157,39.54371
09/06/2020 15:28:00,40.16437,40.11788,39.50716
09/06/2020 15:29:00,40.12627,40.11967,39.47726
09/06/2020 15:30:00,39.98127,40.137,39.449
09/06/2020 15:31:00,40.04331,40.09986,39.41513
09/06/2020 15:32:00,40.0876,40.11823,39.46196
09/06/2020 15:33:00,40.02829,40.08532,39.49421
09/06/2020 15:34:00,40.03265,40.04608,39.43673
09/06/2020 15:35:00,40.16523,40.10023,39.4902
09/06/2020 15:36:00,40.1148,40.16082,39.462
09/06/2020 15:37:00,40.14725,40.1795,39.45375
09/06/2020 15:38:00,40.26297,40.22004,39.579
09/06/2020 15:39:00,40.35656,40.25964,39.64556
09/06/2020 15:40:00,40.46589,40.32928,39.71415
09/06/2020 15:41:00,40.46014,40.42287,39.80262
09/06/2020 15:42:00,40.04539,40.28614,39.62354
09/06/2020 15:43:00,39.89524,40.18476,39.47465
09/06/2020 15:44:00,40.16499,40.17275,39.49397
09/06/2020 15:45:00,40.28914,40.21852,39.62083
09/06/2020 15:46:00,39.91207,40.17987,39.57083
09/06/2020 15:47:00,39.7653,40.04366,39.41975
09/06/2020 15:48:00,39.92903,39.99324,39.38604
09/06/2020 15:49:00,40.15404,40.00481,39.49642
09/06/2020 15:50:00,40.25018,40.12851,39.63218
09/06/2020 15:51:00,40.32209,40.20961,39.647
09/06/2020 15:52:00,40.24286,40.25214,39.69155
09/06/2020 15:53:00,39.71801,40.10557,39.5185
09/06/2020 15:54:00,39.58794,39.84141,39.24114
09/06/2020 15:55:00,39.74021,39.78948,39.20586
09/06/2020 15:56:00,39.66112,39.74104,39.20722
09/06/2020 15:57:00,39.59755,39.71777,39.14321
09/06/2020 15:58:00,39.73302,39.71833,39.14168
09/06/2020 15:59:00,39.76048,39.84663,39.20753
09/06/2020 16:00:00,39.81348,39.95715,39.21067
09/06/2020 16:01:00,39.71147,39.19863,39.22943
09/06/2020 16:02:00,39.75215,39.20899,39.21087
09/06/2020 16:03:00,39.65581,39.16122,39.14058
09/06/2020 16:04:00,39.59873,39.2507,39.10998
09/06/2020 16:05:00,39.50738,39.29531,39.05706
09/06/2020 16:06:00,39.62077,39.33137,39.04224
09/06/2020 16:07:00,39.52743,39.32333,39.04014
09/06/2020 16:08:00,39.67237,39.32512,39.05012
09/06/2020 16:09:00,39.91265,39.46876,39.18717
09/06/2020 16:10:00,39.7512,39.45445,39.21668
09/06/2020 16:11:00,39.7137,39.32652,39.23576
09/06/2020 16:12:00,39.66851,39.25028,39.2087
09/06/2020 16:13:00,39.75117,39.30788,39.18178
09/06/2020 16:14:00,39.7466,39.42864,39.19255
09/06/2020 16:15:00,39.54776,39.13001,39.13428
09/06/2020 16:16:00,39.29914,39.16702,38.97162
09/06/2020 16:17:00,39.28411,39.15228,38.81063
09/06/2020 16:18:00,39.44155,39.2056,38.84708
09/06/2020 16:19:00,39.63619,39.23053,38.94997
09/06/2020 16:20:00,39.49503,39.31197,38.99949
09/06/2020 16:21:00,39.22316,39.23138,38.80114
09/06/2020 16:22:00,39.2556,39.15568,38.70414
09/06/2020 16:23:00,39.20521,39.11574,38.63072
09/06/2020 16:24:00,39.33527,39.11673,38.67737
09/06/2020 16:25:00,39.3904,39.12947,38.7483
09/06/2020 16:26:00,39.5965,39.26304,38.85085
09/06/2020 16:27:00,39.61059,39.30216,38.95578
09/06/2020 16:28:00,39.34843,39.26046,38.86656
09/06/2020 16:29:00,39.31106,39.20693,38.78343
09/06/2020 16:30:00,39.39512,39.19512,38.80508
09/06/2020 16:31:00,39.42265,39.23004,38.84939
09/06/2020 16:32:00,39.40586,39.21303,38.84341
09/06/2020 16:33:00,39.53195,39.26856,38.89905
09/06/2020 16:34:00,39.76126,39.3535,39.03926
09/06/2020 16:35:00,39.78911,39.49345,39.11395
09/06/2020 16:36:00,39.42843,39.43642,39.02105
09/06/2020 16:37:00,39.30293,39.28468,38.91299
09/06/2020 16:38:00,39.18079,39.18647,38.76252
09/06/2020 16:39:00,39.08947,39.10827,38.62711
09/06/2020 16:40:00,39.12608,39.01984,38.64039
09/06/2020 16:41:00,39.07919,39.00246,38.61377
09/06/2020 16:42:00,39.00324,38.91704,38.56864
09/06/2020 16:43:00,39.02065,38.91218,38.5303
09/06/2020 16:44:00,39.0162,38.86506,38.55004
09/06/2020 16:45:00,38.93334,38.82445,38.53463
09/06/2020 16:46:00,38.98999,38.81622,38.53905
09/06/2020 16:47:00,39.18628,38.9114,38.62806
09/06/2020 16:48:00,39.33398,39.02517,38.79422
09/06/2020 16:49:00,39.30446,39.12909,38.83281
09/06/2020 16:50:00,39.61066,39.21045,38.94952
09/06/2020 16:51:00,39.76536,39.37008,39.10229
09/06/2020 16:52:00,39.52844,39.41652,39.11218
09/06/2020 16:53:00,39.58161,39.40378,39.05237
09/06/2020 16:54:00,39.63887,39.41379,39.12045
09/06/2020 16:55:00,39.51867,39.40445,39.13562
09/06/2020 16:56:00,39.65558,39.3341,39.1309
09/06/2020 16:57:00,39.64371,39.40107,39.14273
09/06/2020 16:58:00,39.5826,39.36201,39.1436
09/06/2020 16:59:00,39.39169,39.29866,39.03791
09/06/2020 17:00:00,39.43293,39.25916,38.98777
09/06/2020 17:01:00,39.43327,39.28396,39.03128
09/06/2020 17:02:00,39.31514,39.23871,38.96294
09/06/2020 17:03:00,39.22493,39.12812,38.8747
09/06/2020 17:04:00,39.4845,39.16296,38.91711
09/06/2020 17:05:00,39.74124,39.19593,39.08166
09/06/2020 17:06:00,39.75206,39.25669,39.15434
09/06/2020 17:07:00,39.64048,39.18832,39.18012
09/06/2020 17:08:00,39.39496,39.18603,39.09578
09/06/2020 17:09:00,39.5442,39.23727,39.06145
09/06/2020 17:10:00,39.5717,39.23241,39.10694
09/06/2020 17:11:00,39.44691,39.2929,39.03402
09/06/2020 17:12:00,39.42786,39.23754,39.02574
09/06/2020 17:13:00,39.38189,39.24013,38.94306
09/06/2020 17:14:00,39.28564,39.18153,38.8448
09/06/2020 17:15:00,39.30765,39.18298,38.84962
09/06/2020 17:16:00,39.44514,39.15197,38.92319
09/06/2020 17:17:00,39.6014,39.21609,39.04126
09/06/2020 17:18:00,39.45099,39.22429,39.04334
09/06/2020 17:19:00,39.3933,39.22924,39.04036
09/06/2020 17:20:00,39.437,39.21566,38.96369
09/06/2020 17:21:00,39.45922,39.24809,39.01112
09/06/2020 17:22:00,39.34451,39.19154,38.95696
09/06/2020 17:23:00,39.29938,39.13493,38.93954
09/06/2020 17:24:00,39.31724,39.1378,38.87142
09/06/2020 17:25:00,39.43545,39.17882,38.91848
09/06/2020 17:26:00,39.40117,39.19974,38.94712
09/06/2020 17:27:00,39.23865,39.15256,38.85379
09/06/2020 17:28:00,39.30313,39.14083,38.82951
09/06/2020 17:29:00,39.24577,39.12129,38.79073
09/06/2020 17:30:00,39.31627,39.12008,38.82304
09/06/2020 17:31:00,39.43264,39.18587,38.88063
09/06/2020 17:32:00,39.43736,39.2157,38.94403
09/06/2020 17:33:00,39.38672,39.21246,38.94746
09/06/2020 17:34:00,39.31879,39.1995,38.86701
09/06/2020 17:35:00,39.25087,39.13497,38.82505
09/06/2020 17:36:00,38.98729,39.07045,38.6715
09/06/2020 17:37:00,38.91951,38.97424,38.55702
09/06/2020 17:38:00,38.97988,38.92131,38.53021
09/06/2020 17:39:00,39.03586,38.93147,38.54154
09/06/2020 17:40:00,39.17939,38.96278,38.59412
09/06/2020 17:41:00,39.23076,39.03157,38.63017
09/06/2020 17:42:00,39.33532,39.04367,38.71642
09/06/2020 17:43:00,39.39688,39.12834,38.76359
09/06/2020 17:44:00,39.3413,39.19672,38.80598
09/06/2020 17:45:00,39.29099,39.16508,38.77837
09/06/2020 17:46:00,39.25435,39.21523,38.78458
09/06/2020 17:47:00,39.09626,39.1343,38.71027
09/06/2020 17:48:00,38.90698,39.01416,38.56339
09/06/2020 17:49:00,38.82872,38.84225,38.44538
09/06/2020 17:50:00,38.78183,38.81626,38.38817
09/06/2020 17:51:00,38.71711,38.73954,38.27073
09/06/2020 17:52:00,38.68469,38.70028,38.26836
09/06/2020 17:53:00,38.60376,38.61129,38.23926
09/06/2020 17:54:00,38.52576,38.59343,38.20219
09/06/2020 17:55:00,38.49093,38.51099,38.17905
09/06/2020 17:56:00,38.53956,38.45455,38.17494
09/06/2020 17:57:00,38.59914,38.50941,38.22454
09/06/2020 17:58:00,38.62776,38.5131,38.26419
09/06/2020 17:59:00,38.73483,38.5544,38.30035
09/06/2020 18:00:00,38.80052,38.60923,38.36347
09/06/2020 18:01:00,38.86465,38.69402,38.42967
09/06/2020 18:02:00,38.8314,38.71264,38.44537
09/06/2020 18:03:00,38.76603,38.71291,38.43808
09/06/2020 18:04:00,38.813,38.71283,38.4314
09/06/2020 18:05:00,38.68502,38.71136,38.40783
09/06/2020 18:06:00,38.55141,38.6209,38.31245
09/06/2020 18:07:00,38.41112,38.53447,38.22423
09/06/2020 18:08:00,38.34657,38.42683,38.08294
09/06/2020 18:09:00,38.41937,38.40557,38.05384
09/06/2020 18:10:00,38.34345,38.38014,38.15258
09/06/2020 18:11:00,38.34249,38.33215,38.05307
09/06/2020 18:12:00,38.2869,38.30523,38.01579
09/06/2020 18:13:00,38.3176,38.30165,37.99938
09/06/2020 18:14:00,38.38375,38.30491,38.03493
09/06/2020 18:15:00,38.3316,38.30385,38.02838
09/06/2020 18:16:00,38.23288,38.28961,37.93559
09/06/2020 18:17:00,38.19415,38.24582,37.90426
09/06/2020 18:18:00,38.222,38.21315,37.93614
09/06/2020 18:19:00,38.24236,38.24852,37.92746
09/06/2020 18:20:00,38.18629,38.23234,37.88042
09/06/2020 18:21:00,38.02701,38.1967,37.81478
09/06/2020 18:22:00,37.98143,38.20011,37.73006
09/06/2020 18:23:00,38.02931,38.20587,37.64982
09/06/2020 18:24:00,38.03245,38.2056,37.6835
09/06/2020 18:25:00,38.05378,38.20582,37.72652
09/06/2020 18:26:00,38.05578,38.20514,37.66686
09/06/2020 18:27:00,38.01875,38.20554,37.67467
09/06/2020 18:28:00,38.04504,38.20483,37.69784
09/06/2020 18:29:00,38.07859,38.20848,37.71015
09/06/2020 18:30:00,38.0984,38.21607,37.73031
09/06/2020 18:31:00,38.08003,38.21049,37.70679
09/06/2020 18:32:00,38.01744,38.20549,37.69307
09/06/2020 18:33:00,37.9539,38.20033,37.62365
09/06/2020 18:34:00,37.89194,38.11306,37.55674
09/06/2020 18:35:00,37.85061,38.02956,37.5301
09/06/2020 18:36:00,37.81721,37.95708,37.48486
09/06/2020 18:37:00,37.79854,37.89806,37.43257
09/06/2020 18:38:00,37.74172,37.83683,37.42896
09/06/2020 18:39:00,37.67645,37.7447,37.34396
09/06/2020 18:40:00,37.63601,37.70206,37.31832
09/06/2020 18:41:00,37.62243,37.61253,37.25467
09/06/2020 18:42:00,37.64178,37.60639,37.25145
09/06/2020 18:43:00,37.6289,37.53088,37.22738
09/06/2020 18:44:00,37.60081,37.54057,37.2275
09/06/2020 18:45:00,37.58877,37.50993,37.22573
09/06/2020 18:46:00,37.57833,37.5099,37.1734
09/06/2020 18:47:00,37.55998,37.50643,37.12735
09/06/2020 18:48:00,37.52917,37.48499,37.12445
09/06/2020 18:49:00,37.50755,37.41886,37.12248
09/06/2020 18:50:00,37.48413,37.41876,37.11556
09/06/2020 18:51:00,37.47317,37.41001,37.05656
09/06/2020 18:52:00,37.45386,37.39429,37.06615
09/06/2020 18:53:00,37.41134,37.35473,37.02103
09/06/2020 18:54:00,37.39108,37.33683,37.02013
09/06/2020 18:55:00,37.35509,37.30909,36.98629
09/06/2020 18:56:00,37.36006,37.29213,36.93624
09/06/2020 18:57:00,37.34657,37.26904,36.92216
09/06/2020 18:58:00,37.34382,37.28185,36.93582
09/06/2020 18:59:00,37.30447,37.22405,36.90467
09/06/2020 19:00:00,37.28418,37.21351,36.91209
09/06/2020 19:01:00,37.28926,37.21236,36.90071
09/06/2020 19:02:00,37.2583,37.20141,36.8856
09/06/2020 19:03:00,37.22809,37.18085,36.82166
09/06/2020 19:04:00,37.21259,37.11235,36.82193
09/06/2020 19:05:00,37.18365,37.11184,36.80617
09/06/2020 19:06:00,37.1808,37.11174,36.79282
09/06/2020 19:07:00,37.15388,37.11133,36.74411
09/06/2020 19:08:00,37.13777,37.08527,36.72002
09/06/2020 19:09:00,37.12696,37.05651,36.72181
09/06/2020 19:10:00,37.12149,37.01412,36.71949
09/06/2020 19:11:00,37.09138,37.01464,36.70608
09/06/2020 19:12:00,37.08172,37.01443,36.70926
09/06/2020 19:13:00,37.06821,37.01367,36.67896
09/06/2020 19:14:00,37.06531,36.98395,36.6232
09/06/2020 19:15:00,37.05547,36.95271,36.626
09/06/2020 19:16:00,37.05152,36.94595,36.62274
