,Rel. Hum.,Rel.Hum2.,Rel. Hum 1
09/06/2020 15:34:00,29.95727,29.73828,30.06375
09/06/2020 15:35:00,29.63303,29.72746,30.03896
09/06/2020 15:36:00,29.42942,29.01622,29.37806
09/06/2020 15:37:00,29.73315,29.43891,29.69686
09/06/2020 15:38:00,29.80168,29.77448,29.90203
09/06/2020 15:39:00,29.59237,29.4925,29.7735
09/06/2020 15:40:00,29.38307,29.14511,29.6007
09/06/2020 15:41:00,29.48283,29.14813,29.59052
09/06/2020 15:42:00,30.49756,29.77722,29.87319
09/06/2020 15:43:00,31.0201,30.60319,30.4284
09/06/2020 15:44:00,30.49662,30.68351,30.56364
09/06/2020 15:45:00,29.84846,29.93263,30.1265
09/06/2020 15:46:00,30.32266,29.56871,29.85075
09/06/2020 15:47:00,30.36333,29.67315,29.94442
09/06/2020 15:48:00,30.18068,29.919,30.15731
09/06/2020 15:49:00,29.76953,29.68107,30.05244
09/06/2020 15:50:00,29.55091,29.25607,29.76516
09/06/2020 15:51:00,29.89115,29.54379,29.98382
09/06/2020 15:52:00,30.33058,29.9276,30.21907
09/06/2020 15:53:00,31.30923,30.41101,30.53805
09/06/2020 15:54:00,31.53858,31.08871,31.06853
09/06/2020 15:55:00,31.34141,31.2332,31.28685
09/06/2020 15:56:00,31.2685,31.0728,31.17589
09/06/2020 15:57:00,31.47484,31.14353,31.3007
09/06/2020 15:58:00,31.15561,31.18615,31.43506
09/06/2020 15:59:00,30.93415,30.78689,31.14103
09/06/2020 16:00:00,30.49149,30.4664,30.84849
09/06/2020 16:01:00,30.66066,30.14019,30.51357
09/06/2020 16:02:00,30.55367,30.27351,30.63392
09/06/2020 16:03:00,30.60437,30.27605,30.60365
09/06/2020 16:04:00,30.27742,29.77779,30.26296
09/06/2020 16:05:00,30.44133,29.88973,30.24484
09/06/2020 16:06:00,30.27297,29.98449,30.27793
09/06/2020 16:07:00,30.58885,30.0949,30.32248
09/06/2020 16:08:00,30.1354,30.04176,30.3532
09/06/2020 16:09:00,29.44694,29.18912,29.72402
09/06/2020 16:10:00,29.92869,29.44768,29.78563
09/06/2020 16:11:00,29.92528,29.42091,29.72624
09/06/2020 16:12:00,29.95373,29.25158,29.64726
09/06/2020 16:13:00,29.81033,29.43892,29.76557
09/06/2020 16:14:00,29.76441,29.08209,29.53835
09/06/2020 16:15:00,30.01513,29.11625,29.62525
09/06/2020 16:16:00,30.39344,29.44821,29.87179
09/06/2020 16:17:00,30.46558,29.91284,30.22512
09/06/2020 16:18:00,30.23215,29.88365,30.22664
09/06/2020 16:19:00,29.86816,29.70683,30.15281
09/06/2020 16:20:00,29.95667,29.38009,29.80662
09/06/2020 16:21:00,30.17784,29.38439,29.7986
09/06/2020 16:22:00,29.46553,28.79575,29.35298
09/06/2020 16:23:00,30.01205,29.2879,29.68008
09/06/2020 16:24:00,30.0828,29.6173,30.01451
09/06/2020 16:25:00,30.17777,29.7972,30.18335
09/06/2020 16:26:00,30.00826,29.85126,30.23118
09/06/2020 16:27:00,29.85106,29.44037,29.91159
09/06/2020 16:28:00,30.05747,29.33117,29.75056
09/06/2020 16:29:00,29.95293,29.43447,29.84041
09/06/2020 16:30:00,29.64584,29.18043,29.70709
09/06/2020 16:31:00,29.29589,28.58115,29.27414
09/06/2020 16:32:00,29.19081,28.49704,29.11545
09/06/2020 16:33:00,29.05941,28.45239,29.11107
09/06/2020 16:34:00,29.21294,28.63674,29.34171
09/06/2020 16:35:00,29.51704,28.91411,29.45588
09/06/2020 16:36:00,30.43875,29.42838,29.85136
09/06/2020 16:37:00,30.70793,29.95547,30.26825
09/06/2020 16:38:00,31.07919,30.39348,30.64779
09/06/2020 16:39:00,31.28264,30.69387,30.94175
09/06/2020 16:40:00,31.23022,30.76644,31.00842
09/06/2020 16:41:00,31.49169,30.99765,31.25602
09/06/2020 16:42:00,31.70526,31.19794,31.42831
09/06/2020 16:43:00,31.73968,31.33041,31.54766
09/06/2020 16:44:00,31.53927,31.21136,31.49285
09/06/2020 16:45:00,31.64153,31.22629,31.46168
09/06/2020 16:46:00,31.62497,31.2882,31.46159
09/06/2020 16:47:00,31.45188,31.37383,31.4994
09/06/2020 16:48:00,31.13202,31.14799,31.33085
09/06/2020 16:49:00,31.35019,31.09992,31.25983
09/06/2020 16:50:00,30.92101,31.10395,31.31321
09/06/2020 16:51:00,30.20028,30.4034,30.69552
09/06/2020 16:52:00,30.59054,29.98466,30.34962
09/06/2020 16:53:00,31.1041,30.68607,30.81326
09/06/2020 16:54:00,30.3671,30.20121,30.42893
09/06/2020 16:55:00,30.62596,29.88723,30.18759
09/06/2020 16:56:00,30.20827,29.89884,30.24692
09/06/2020 16:57:00,30.18904,29.76207,30.17721
09/06/2020 16:58:00,29.99687,29.4503,29.79733
09/06/2020 16:59:00,30.51081,29.7295,30.02627
09/06/2020 17:00:00,30.34896,29.82795,30.18101
09/06/2020 17:01:00,29.95033,29.48861,29.88874
09/06/2020 17:02:00,30.04977,29.32715,29.72193
09/06/2020 17:03:00,30.2309,29.50837,29.85656
09/06/2020 17:04:00,29.68952,29.42709,29.95408
09/06/2020 17:05:00,29.26419,29.07106,29.6361
09/06/2020 17:06:00,29.15758,28.50515,29.24065
09/06/2020 17:07:00,29.21655,28.49659,29.0704
09/06/2020 17:08:00,29.72629,28.60143,29.1054
09/06/2020 17:09:00,29.77885,29.3112,29.6413
09/06/2020 17:10:00,29.36714,28.70807,29.27715
09/06/2020 17:11:00,29.32065,28.47447,29.05637
09/06/2020 17:12:00,29.28309,28.39764,29.00489
09/06/2020 17:13:00,29.34864,28.42113,29.14931
09/06/2020 17:14:00,29.53,28.5044,29.0968
09/06/2020 17:15:00,29.47716,28.52652,29.15896
09/06/2020 17:16:00,29.44282,28.86026,29.32034
09/06/2020 17:17:00,29.18543,28.6652,29.31401
09/06/2020 17:18:00,29.55432,28.56091,29.26715
09/06/2020 17:19:00,29.74367,28.72919,29.33375
09/06/2020 17:20:00,29.63025,28.88964,29.48781
09/06/2020 17:21:00,29.44315,28.59825,29.27259
09/06/2020 17:22:00,29.93265,28.95981,29.37986
09/06/2020 17:23:00,30.10873,29.33117,29.69263
09/06/2020 17:24:00,30.2416,29.56288,29.93073
09/06/2020 17:25:00,29.87361,29.50915,29.89904
09/06/2020 17:26:00,29.95792,29.36719,29.73091
09/06/2020 17:27:00,30.34958,29.50397,29.8597
09/06/2020 17:28:00,29.94651,29.37692,29.785
09/06/2020 17:29:00,29.84483,29.08117,29.49456
09/06/2020 17:30:00,29.9926,29.40625,29.7045
09/06/2020 17:31:00,30.0032,29.58395,29.92553
09/06/2020 17:32:00,29.99212,29.43139,29.76391
09/06/2020 17:33:00,30.2144,29.5545,29.94259
09/06/2020 17:34:00,30.47795,29.7128,30.07499
09/06/2020 17:35:00,30.25131,29.54269,29.91601
09/06/2020 17:36:00,30.80708,29.75652,29.97795
09/06/2020 17:37:00,31.15192,30.32577,30.37591
09/06/2020 17:38:00,31.09745,30.55793,30.66216
09/06/2020 17:39:00,31.07862,30.69946,30.74739
09/06/2020 17:40:00,30.97942,30.6416,30.84453
09/06/2020 17:41:00,30.94522,30.64124,30.85922
09/06/2020 17:42:00,30.85841,30.62945,30.84472
09/06/2020 17:43:00,30.48186,30.26178,30.56737
09/06/2020 17:44:00,30.5901,30.03487,30.31809
09/06/2020 17:45:00,30.9947,30.42225,30.59061
09/06/2020 17:46:00,31.18786,30.59815,30.72273
09/06/2020 17:47:00,31.56199,30.82533,30.92248
09/06/2020 17:48:00,32.17507,31.27884,31.3435
